,0
11,"
初めて中古のノートパソコン購入
使用して数時間で電源が落ちて使えなくなった。
直ぐに、出品者、サポートにメールしても返事が来ない
再三、連絡してやっと回答が来たが、返送してくださいとの事。
謝ることを知らない。
返送し、連絡したが、また返事が来ない
クレームの時くらい、早々の対応できないのだろうか？
後日、出品者より、本日直り次第、送ります　との事。
原因も、問い合わせに対しても返事がない。
どうなってるんだろうか？
最低です
"
12,"
タイトルの通り、泣き寝入りの事案です。
結論から言うと、商品を販売し発送したものの代金は振り込まれず、商品も返品されませんでした。

買い手が付いた後、最小サイズのネコポスで発送したところ、商品到着間際で規格以上の不当な発送料への変更通知がきたのでキャンセルしたら、そのような状況になりました。（商品は小物だったので箱が膨らむことも考え難い。）

運営側の対応はというと、個人間のことなので運営側では対応できないの一点張りでした。

もう二度とこの会社は利用しません。
"
13,"
アニメの商品を出品してる方の多くは禁止行為をしてます。商品説明の所で､出品してるアニメの商品と関係ないアニメを複数羅列してます。運営側に問い合わせして３回くらいは消去して頂きましてが、何回も問い合わせでお願いをしたのでウザいと思われ、問い合わせの返信さえしてもらえず対応されなくなりました！

運営の対応が悪いので消費者センターにお願いをしまたが､運営は対応しません！マナーの悪い方を助長するのがメルカリ運営で､何も対応しないのを良い事に利用者は規則を破る。それがメルカリです。
"
14,"
急な予定でどうしてもすぐに評価をすることが出来ず、ようやく一段落したので評価しようとしたらお相手からメッセージが来ていました。
謝罪をし、評価をさせていただいたのですが最低評価をいただいてしまい。
取引後に連絡が途絶える相手はお断りしているそうなのでこちらが悪いのはわかるのですが、事情を考慮していただけないのはとても悲しかったです。

それから間もなく退会をしました。
見えないお相手とのやり取りは難しいですね。
"
15,"
わからないことがあり質問しましたがなかなか回答がなくこちらからの一方通行でした。おかげで購入者に迷惑をかけてしまいました。
"
16,"
不誠実な出品者が多すぎる。新品なはずなのに、新品じゃないものが届いたり、メルカリの運営の対応も最低。
出品者に対して、悪い評価が残せないのは、問題。
"
17,"
ひさしぶりに利用してみたがアプリもWeb版もわかりにくくなった。振り込み申請したが振り込み日になっても振り込まれてないので事務局へお問い合わせしようとしたがなかなか項目が見つからない。ヘルプのページに誘導されるばかり。なんとか見つけて問い合わせてみたが問い合わせしましたという文字は出てるが数時間経っても一向に返事が来ない。それどころかさきほど見たら振り込みがキャンセルされましたというメッセージもあり売り上げたお金はどうなっちゃうんだろう？せっかく売り上げても不安になるばかり。これじゃ利用するのも不安になる。別のフリマアプリを探すしかないかな…。
"
18,"
言いたいことが沢山あり｢GooglePlay｣などのレビューにも記載させて頂きましたが、どうしても文字数制限があり書きたいことがあっても全て伝えられなかったのでこちらにて書き込ませていただきます。
私なりの解釈と言いますか意見･捉え方となります。
全文閲覧される方はご注意ください。

【良かった点】
･ログインできなくなりアカウントを復活させたい時には迅速な対応で大変お世話にはなりました。

以下最悪な点です。
･最近何かと露骨なポイント釣りが多い。(しかも達成してポイント得ても大抵期限付きで期限内に使え使え(買え買え)と急かしてくるように感じる。)ゆっくり選んで買わせてくれもしない。
自分が心から欲しい！と思える商品が出てくるのもタイミングになるので、2〜3ヶ月、はたまた半年待ち〜下手すると1年待ってようやく…なんてことが当たり前のはずだが。それすらも待ってくれない。よって無理にポイント得るために条件を達成させる必要は無いな、と思いました。

･新規ユーザーを獲得するまでは何かと親切だが、いざ登録して得てしまえばあとは知らんぷり。取引無しの新規ユーザーが迷惑行為を行っていて見かねて運営に問い合せても放置状態。見て見ぬふり。(ユーザーを増やすようなことは飛び付いて対応してくれるが、ユーザーを減らすような状況の問題には目もくれない。)
よって運営が何かと新規ユーザーの獲得(平たく言えば新規ユーザー獲得のことしか出来ていない)のために色々やっているようだが、中身を開けば無法地帯で古参がドンドンと別のフリマアプリなどに流れており、新規ユーザーも登録しても飽きてしまえば流れているため悪循環。中身は何も運営の監視が行き届いていないやりたい放題のもぬけの殻である。

･出品者にはとことん厳しく、購入者にはとことん甘い。それが｢メルカリ｣。当方は購入者＆出品者で運用させてもらっているが、メルカリを利用するユーザーが増えていく一方、販売手数料の高騰が目に見えている。フリマアプリの中で最も高い販売手数料を誇っている。その為、どうしても出品者側としては販売手数料･送料込の金額に設定しないといけないのでやむなく金額を上げざるを得ないのだが…、最近特に酷くほぼ100%｢値下げ交渉｣からコメントが始まる。なんと、酷い時には半額以下の値下げ交渉が飛んでくることも。私は比較的高額転売をしないようなるべく状態などに合った適正金額を設定しているはずなのだが、それでも値下げ交渉は当たり前。
そして仮に万が一値段交渉を呑んで安価で出品し赤字が出てしまうと返って運営から怒られ利用制限などペナルティを喰らうのも出品者。ここの運営はより良くしていこうという気がないのだろうか。とにかくユーザーが増えればいい。新規ユーザーを獲得することだけに目が眩んだ結果、大切な事や全ユーザーが望むぜひとも取り締まって欲しいことが置き去りに放ったらかしにされている。
何が｢安心･信頼･満足｣のフリマアプリなのだろう。
そのくせ、偉そうに禁止出品物が異常に多く、悪意なくて知らずに出品してしまった時は特にうるさい。そんなに何度も出品してしまった訳でもないのに利用制限などのペナルティも喰らった。わずか数回程度なのに、それも知らずにやってしまったことなのに。
人によっては1回程度でもペナルティをかせられたのだと。さすがにやりすぎでは無いか？
規定の中身を見てみれば｢は？｣と思うようなものまで禁止出品物。
そして誰もが見る気失せるようなダラダラ〜どした小さい文字で長々と。
最近ではとにかく出品するのに毎度毎度運営から何か言われないじゃないかビクビクしながら出品しなければならず安心なんかあったもんじゃない。
運営はとにかく購入者の肩を持つ。運営も購入者も出品者の敵のようなもの。最近はますますそれが漏洩されて来ているように感じる。なんせ購入者がいくら迷惑行為で周囲を荒らしまくっても運営に問い合わせられてもお咎め無しなのだから。完全に見て見ぬふりである。ここまで無法地帯なアプリの何が安心なのだろうか。
"
19,"
中古のノートパソコンを買うのに不安がありましたが、メルカリでいろいろと検索して、信用できそうな出品者を見つけたので、コメント欄で気になる点を質問してみたら、対応が誠実だったので購入を決めました。お値段が4万円を切ること、遅いHDD(ハードディスク)を新品で高速のSSDに交換していること、最新のマイクロソフトオフィスがついていること、バッテリーが消耗し過ぎず状態がいいこと、Windows10以上であること、外観が綺麗であること、分解して内部まで綺麗にしていること、過去の購入者の評価が高いこと、サポートがしっかりしていること、などが購入の決め手になりました。また、購入後にWi-Fi接続のことで質問してもすぐに返信があり、的確な対応をして下さってとても助かりました。メルカリのコメント欄が期限切れで使えなくなった後でも、LINEで質問に答えて下さるので、こちらが恐縮するほどです。とてもいい出品者様から購入できて本当に幸運でした。
"
20,"
何年もメルカリを利用しています。売る方も買う方もしています。
先日売り手で、とある理由でほぼ初めての取引キャンセルを要求したところ、キャンセル成立になりましたが出品時に登録した商品の情報や商品そのものに不備が見つかったことを理由に取引キャンセルを申し出ることという迷惑行為と認識されました。意味がわからないし気持ち悪すぎてもう利用したくないです。
"
